invoice_id,customer_id,billing_period,plan_id,usage_charges,tax_amount,total_amount,invoice_date,due_date,invoice_status
INV0000260,CUST0000260,2026-08,PLN005,9.7,11.18,150.87,2026-08-01,2026-08-22,PAID
INV0000261,CUST0000261,2026-08,PLN006,59.58,24.77,334.34,2026-08-01,2026-08-22,PAID
INV0000262,CUST0000262,2026-08,PLN001,3.2,1.06,14.25,2026-08-01,2026-08-22,OPEN
INV0000263,CUST0000263,2026-08,PLN002,5.71,2.06,27.76,2026-08-01,2026-08-22,PAID
INV0000264,CUST0000264,2026-08,PLN004,22.41,8.19,110.59,2026-08-01,2026-08-22,PAID
INV0000265,CUST0000265,2026-08,PLN003,18.13,5.45,73.57,2026-08-01,2026-08-22,PAID
INV0000266,CUST0000266,2026-08,PLN006,0.43,20.03,270.45,2026-08-01,2026-08-22,PAID
INV0000267,CUST0000267,2026-08,PLN001,3.09,1.05,14.13,2026-08-01,2026-08-22,PAID
INV0000268,CUST0000268,2026-08,PLN003,11.0,4.88,65.87,2026-08-01,2026-08-22,PAID
INV0000269,CUST0000269,2026-08,PLN006,97.28,27.78,375.05,2026-08-01,2026-08-22,PAID
INV0000270,CUST0000270,2026-08,PLN005,26.87,12.55,169.41,2026-08-01,2026-08-22,OPEN
INV0000271,CUST0000271,2026-08,PLN003,18.34,5.47,73.8,2026-08-01,2026-08-22,PAID
INV0000272,CUST0000272,2026-08,PLN005,50.91,14.47,195.37,2026-08-01,2026-08-22,PAID
INV0000273,CUST0000273,2026-08,PLN002,6.43,2.11,28.53,2026-08-01,2026-08-22,PAID
INV0000274,CUST0000274,2026-08,PLN006,9.6,20.77,280.36,2026-08-01,2026-08-22,PAID
INV0000275,CUST0000275,2026-08,PLN002,0.01,1.6,21.6,2026-08-01,2026-08-22,PAID
INV0000276,CUST0000276,2026-08,PLN005,6.63,10.93,147.55,2026-08-01,2026-08-22,OVERDUE
INV0000277,CUST0000277,2026-08,PLN002,1.08,1.69,22.76,2026-08-01,2026-08-22,OVERDUE
INV0000278,CUST0000278,2026-08,PLN001,1.01,0.88,11.88,2026-08-01,2026-08-22,PAID
INV0000279,CUST0000279,2026-08,PLN006,21.14,21.69,292.82,2026-08-01,2026-08-22,PAID
INV0000280,CUST0000280,2026-08,PLN004,31.16,8.89,120.04,2026-08-01,2026-08-22,OVERDUE
INV0000281,CUST0000281,2026-08,PLN005,31.32,12.9,174.21,2026-08-01,2026-08-22,PAID
INV0000282,CUST0000282,2026-08,PLN006,62.73,25.02,337.74,2026-08-01,2026-08-22,PAID
INV0000283,CUST0000283,2026-08,PLN001,1.11,0.89,11.99,2026-08-01,2026-08-22,OPEN
INV0000284,CUST0000284,2026-08,PLN002,1.75,1.74,23.48,2026-08-01,2026-08-22,PAID
INV0000285,CUST0000285,2026-08,PLN003,17.01,5.36,72.36,2026-08-01,2026-08-22,PAID
INV0000286,CUST0000286,2026-08,PLN003,14.35,5.15,69.49,2026-08-01,2026-08-22,PAID
INV0000287,CUST0000287,2026-08,PLN004,10.73,7.26,97.98,2026-08-01,2026-08-22,PAID
INV0000288,CUST0000288,2026-08,PLN002,0.02,1.6,21.61,2026-08-01,2026-08-22,OVERDUE
INV0000289,CUST0000289,2026-08,PLN001,1.38,0.91,12.28,2026-08-01,2026-08-22,OPEN
INV0000290,CUST0000290,2026-08,PLN002,7.48,2.2,29.67,2026-08-01,2026-08-22,PAID
INV0000291,CUST0000291,2026-08,PLN004,28.9,8.71,117.6,2026-08-01,2026-08-22,PAID
INV0000292,CUST0000292,2026-08,PLN001,2.73,1.02,13.74,2026-08-01,2026-08-22,PAID
INV0000293,CUST0000293,2026-08,PLN006,88.34,27.07,365.4,2026-08-01,2026-08-22,PAID
INV0000294,CUST0000294,2026-08,PLN003,7.56,4.6,62.15,2026-08-01,2026-08-22,PAID
INV0000295,CUST0000295,2026-08,PLN001,3.77,1.1,14.86,2026-08-01,2026-08-22,PAID
INV0000296,CUST0000296,2026-08,PLN001,2.48,1.0,13.47,2026-08-01,2026-08-22,PAID
INV0000297,CUST0000297,2026-08,PLN002,7.51,2.2,29.7,2026-08-01,2026-08-22,PAID
INV0000298,CUST0000298,2026-08,PLN003,8.12,4.65,62.76,2026-08-01,2026-08-22,OPEN
INV0000299,CUST0000299,2026-08,PLN004,26.92,8.55,115.46,2026-08-01,2026-08-22,OVERDUE
INV0000300,CUST0000300,2026-08,PLN004,30.53,8.84,119.36,2026-08-01,2026-08-22,OPEN
